molecular_weight,alogp,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,MolWt_rdkit,LogP_rdkit,TPSA_rdkit,HDonors_rdkit,HAcceptors_rdkit,RotBonds_rdkit,Lipinski_violations,Lipinski_pass,Veber_pass,Triage_label
226.32,2.44,46.53,1,3,226.316,2.4354000000000005,46.53,1.0,3.0,7.0,0,True,True,High-priority
227.26,0.94,38.66,0,2,227.263,0.9358,38.66,0.0,2.0,0.0,0,True,True,High-priority
229.23,2.66,48.42,0,4,229.235,2.6605000000000008,48.42,0.0,4.0,3.0,0,True,True,High-priority
229.28,2.28,38.33,1,2,229.279,2.2761,38.33,1.0,2.0,2.0,0,True,True,High-priority
231.25,1.93,59.31,1,3,231.251,1.9312,59.31,1.0,3.0,2.0,0,True,True,High-priority
232.28,2.68,47.28,0,3,232.27899999999997,2.676840000000001,47.28,0.0,3.0,1.0,0,True,True,High-priority
232.29,4.13,28.68,1,1,232.286,4.1293200000000025,28.68,1.0,1.0,0.0,0,True,True,High-priority
232.3,3.63,26.3,0,3,232.304,3.6263000000000014,26.3,0.0,3.0,3.0,0,True,True,High-priority
232.31,-0.46,49.8,2,2,232.307,-0.4591999999999989,49.8,2.0,2.0,0.0,0,True,True,High-priority
232.32,3.24,26.3,0,2,232.32299999999992,3.2406000000000024,26.3,0.0,2.0,0.0,0,True,True,High-priority
232.37,4.27,17.07,0,1,232.367,4.272300000000004,17.07,0.0,1.0,0.0,0,True,True,High-priority
233.35,4.17,32.59,1,2,233.35499999999996,4.165300000000003,32.59,1.0,2.0,0.0,0,True,True,High-priority
233.35,3.0,33.12,1,2,233.355,3.0009200000000016,33.120000000000005,1.0,2.0,3.0,0,True,True,High-priority
234.29,0.62,60.69,3,3,234.295,0.6214,60.69,3.0,3.0,6.0,0,True,True,High-priority
234.34,3.7,33.37,1,2,234.33899999999997,3.696900000000003,33.370000000000005,1.0,2.0,4.0,0,True,True,High-priority
234.34,3.03,26.3,0,2,234.33899999999997,3.033900000000002,26.3,0.0,2.0,1.0,0,True,True,High-priority
234.34,3.32,26.3,0,2,234.339,3.320500000000002,26.3,0.0,2.0,0.0,0,True,True,High-priority
234.39,2.25,15.27,1,2,234.38699999999992,2.248900000000001,15.27,1.0,2.0,0.0,0,True,True,High-priority
235.19,2.02,93.58,1,5,235.195,2.0236399999999994,93.58,1.0,5.0,1.0,0,True,True,High-priority
236.19,-1.4,109.98,2,6,236.187,-1.3993000000000002,109.98,2.0,4.0,1.0,0,True,True,High-priority
